WHOREGION,COUNTRY_AREA_TERRITORY,ISO_YEAR,ISO_WEEK,AGEGROUP_CODE,ILI_CASE,ILI_OUTPATIENTS,SARI_CASE,SARI_INPATIENTS
AFR,South Africa,2016,4,All,94,9394,377,13149
AFR,South Africa,2016,9,All,108,11798,359,13105
AFR,South Africa,2016,14,All,145,10945,473,12954
AFR,South Africa,2016,19,All,224,11028,553,12362
AFR,South Africa,2016,24,All,36,0,82,0
AFR,South Africa,2016,1,All,110,15161,374,10830
AFR,South Africa,2016,6,All,112,11638,362,12988
AFR,South Africa,2016,11,All,117,11736,421,13212
AFR,South Africa,2016,16,All,181,11719,542,13193
AFR,South Africa,2016,21,All,44,0,100,0
AFR,South Africa,2016,3,All,55,8845,269,10916
AFR,South Africa,2016,8,All,57,3011,305,4623
AFR,South Africa,2016,13,All,179,11996,424,10998
AFR,South Africa,2016,18,All,210,11236,474,10944
AFR,South Africa,2016,23,All,52,0,117,0
AFR,South Africa,2016,2,All,77,10203,298,11770
AFR,South Africa,2016,7,All,123,11625,262,11321
AFR,South Africa,2019,3,All,0,0,71,0
AFR,South Africa,2019,8,All,3,0,136,0
AFR,South Africa,2019,13,All,5,0,114,0
AFR,South Africa,2016,5,All,105,11709,358,13228
AFR,South Africa,2016,10,All,144,11915,447,12981
AFR,South Africa,2016,15,All,137,11283,523,12770
AFR,South Africa,2016,20,All,188,9661,302,8142
AFR,South Africa,2016,25,All,53,0,70,0
AFR,South Africa,2016,28,All,21,0,18,0
AFR,South Africa,2018,3,All,13,0,56,0
AFR,South Africa,2018,8,All,26,0,94,0
AFR,South Africa,2018,13,All,17,0,82,0
AFR,South Africa,2016,26,All,61,0,89,0
AFR,South Africa,2018,1,All,9,0,50,0
AFR,South Africa,2019,18,All,26,0,90,0
AFR,South Africa,2019,23,All,160,0,123,0
AFR,South Africa,2019,28,All,35,0,69,0
AFR,South Africa,2019,33,All,16,0,87,0
AFR,South Africa,2018,5,All,25,0,87,0
AFR,South Africa,2018,10,All,30,0,118,0
AFR,South Africa,2018,15,All,25,0,134,0
AFR,South Africa,2018,20,All,28,0,111,0
AFR,South Africa,2018,25,All,31,0,95,0
AFR,South Africa,2018,18,All,21,0,91,0
AFR,South Africa,2018,23,All,13,0,120,0
AFR,South Africa,2018,28,All,26,0,93,0
AFR,South Africa,2018,33,All,6,0,119,0
AFR,South Africa,2018,38,All,22,0,93,0
AFR,South Africa,2018,43,All,12,0,72,0
AFR,South Africa,2018,48,All,5,0,45,0
AFR,South Africa,2016,12,All,140,10519,303,8160
AFR,South Africa,2016,17,All,158,11469,424,10578
AFR,South Africa,2016,22,All,50,0,97,0
AFR,South Africa,2016,27,All,62,0,78,0
AFR,South Africa,2019,5,All,1,0,77,0
AFR,South Africa,2019,10,All,15,0,117,0
AFR,South Africa,2019,15,All,24,0,117,0
AFR,South Africa,2019,20,All,69,0,119,0
AFR,South Africa,2019,25,All,114,0,105,0
AFR,South Africa,2019,38,All,5,0,92,0
AFR,South Africa,2019,43,All,6,0,68,0
AFR,South Africa,2019,48,All,2,0,75,0
AFR,South Africa,2018,30,All,8,0,101,0
AFR,South Africa,2018,35,All,12,0,98,0
AFR,South Africa,2018,40,All,5,0,90,0
AFR,South Africa,2018,45,All,7,0,60,0
AFR,South Africa,2018,50,All,9,0,58,0
AFR,South Africa,2018,6,All,21,0,113,0
AFR,South Africa,2018,11,All,36,0,111,0
AFR,South Africa,2018,16,All,49,0,143,0
AFR,South Africa,2018,21,All,29,0,134,0
AFR,South Africa,2019,1,All,1,0,40,0
AFR,South Africa,2019,6,All,3,0,79,0
AFR,South Africa,2019,11,All,16,0,98,0
AFR,South Africa,2019,16,All,15,0,102,0
